Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_LINX_BAT-HLD-012-SMT,1,Battery_Cell,
"C1, C2",01005,2,490-GRM02YR60J104ME01LTR-ND,
C3,CP_Elec_4x3.9,1,732-6401-1-ND,
C4,1206,1,CHV1206N500103JCT,
C5,CP_Elec_5x5.3,1,399-6668-2-ND,
D1,1206,1,516-1441-1-ND,
D2,D_SMA_Handsoldering,1,B150-FDICT-ND,
J1,PinHeader_1x2_P2.54mm_Drill1.02mm,1,2 pin header,22-23-2021
Q1,SOT-223-3_TabPin2,1,4786-PZT2222ACT-ND,
R1,0805,1,CRCW080540R2FKEA,
R2,0805,1,RMCF0805FT10K0TR-ND,
R3,0805,1,RC0805FR-071KL,
R4,0805,1,27k 1% RMCF0402FT27K0,
R5,0805,1,25.5k 1% ERJ-2RKF2552X,
R6,0805,1,24k 1% ERJ-2RKF2402X,
R7,0805,1,22.1k 1% ERJ-2RKF2212X,
R8,0805,1,21k 1% RMCF0402FT21K0,
R9,0805,1,1.4k 1% RC0402FR-071K4L,
S1,Switch_Slide_JS202011SCQN,1,401-2002-1-ND,JS202011SCQN
"SW1, SW2, SW3, SW4, SW5",SW_SPST_TL3305B,5,TL3305,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LMC555CMX/NOPBCT-ND,
