Designator,Mid X,Mid Y,Rotation,Layer
BT1,125.8,-104.8,180.0,bottom
C1,106.1,-104.5375,90.0,top
C2,113.5625,-110.975,180.0,bottom
C3,131.5,-115.6,0.0,bottom
C4,111.0,-100.1,90.0,top
C5,124.5,-117.7,270.0,bottom
D1,119.0,-104.4875,90.0,top
D2,113.0,-107.0,180.0,top
J1,106.73,-100.0,0.0,top
Q1,108.2,-118.35,270.0,bottom
R1,120.0,-110.975,270.0,top
R2,130.4,-120.775,270.0,bottom
R3,132.5,-120.775,90.0,bottom
R4,110.0,-110.975,90.0,top
R5,112.0,-110.975,90.0,top
R6,114.0,-110.975,90.0,top
R7,116.0,-110.975,90.0,top
R8,118.0,-110.975,90.0,top
R9,119.0,-99.975,270.0,top
S1,116.75,-117.9,90.0,bottom
SW1,107.425,-118.425,90.0,top
SW2,113.475,-118.425,90.0,top
SW3,119.525,-118.425,90.0,top
SW4,125.5,-118.425,90.0,top
SW5,131.5,-118.425,90.0,top
U1,115.095,-101.475,180.0,top
