Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_LINX_BAT-HLD-012-SMT,1,BAT-HLD-012-SMT,
"C1, C2",0402,2,0.1uF 10-16V CER CL05B104KO5NNNC,
C3,CP_EIA-2012-12_Kemet-R,1,10uF 10-16V TANT TMCP1A106MTRF,
C4,0402,1,0.01uF 10-50V CER 0402B103K500NT,
C5,CP_EIA-6032-15_Kemet-U,1,100uF 10V TANT TAJC107K010RNJ,
D1,1206,1,LED 2.2V GREEN - HSMG-C150,
D2,D_SOD-123,1,DSS15U,
J1,PinHeader_1x2_P2.54mm_Drill1.02mm,1,2 pin header,22-23-2021
Q1,SOT-223-3_TabPin2,1,PZT2222A,
R1,0402,1,39 Ohm RC0402FR-0739RL,
R2,0402,1,10k 1% RC1005F103CS,
R3,0402,1,1k 1% ERJ-2RKF1001X,
R4,0402,1,27k 1% RMCF0402FT27K0,
R5,0402,1,25.5k 1% ERJ-2RKF2552X,
R6,0402,1,24k 1% ERJ-2RKF2402X,
R7,0402,1,22.1k 1% ERJ-2RKF2212X,
R8,0402,1,21k 1% RMCF0402FT21K0,
R9,0402,1,1.4k 1% RC0402FR-071K4L,
S1,Switch_Slide_JS202011SCQN,1,JS202011SCQN,JS202011SCQN
"SW1, SW2, SW3, SW4, SW5",SW_SPST_TL3305B,5,TL3305,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LMC555xM,
